,Player,cluster_name
594,Ryan Kesler,Big Hitters And PK (Take FO)
595,Stefan Noesen,Physical Defensive Lower-Line Forwards
596,Carl Gunnarsson,Even Strength Lower-Line Defensive Players
597,Kevan Miller,Even Strength Lower-Line Defensive Players
601,Michael Dal Colle,Physical Defensive Lower-Line Forwards
602,Adam McQuaid,PK Specialist And Shot-Blocking Defensemen
605,Joseph Morrow,Even Strength Lower-Line Defensive Players
606,Igor Ozhiganov,Even Strength two-way defensemen
607,Joakim Ryan,Even Strength Lower-Line Defensive Players
610,Nick Seeler,PK Specialist And Shot-Blocking Defensemen
613,Egor Yakovlev,Even Strength Lower-Line Defensive Players
614,Joey Anderson,Physical Defensive Lower-Line Forwards
615,Greg Pateryn,PK Specialist And Shot-Blocking Defensemen
616,Chris Wideman,Lower-Line PP Defensemen/Defensemen-Like Forwards
617,Carl Dahlstrom,Even Strength Lower-Line Defensive Players
618,Christian Folin,Even Strength Lower-Line Defensive Players
619,Slater Koekkoek,Even Strength Lower-Line Defensive Players
620,Dmitry Kulikov,Even Strength Lower-Line Defensive Players
622,Fredrik Claesson,Even Strength Lower-Line Defensive Players
623,Casey Nelson,Even Strength Lower-Line Defensive Players
625,Matt Roy,Even Strength Lower-Line Defensive Players
627,Robby Fabbri,Physical Defensive Lower-Line Forwards
631,Steven Kampfer,Lower-Line PP Defensemen/Defensemen-Like Forwards
635,Lawrence Pilut,Even Strength Lower-Line Defensive Players
638,Brandon Sutter,Big Hitters And PK (Take FO)
640,Dion Phaneuf,PK Specialist And Shot-Blocking Defensemen
641,Dean Kukan,Even Strength Lower-Line Defensive Players
645,Juuso Riikola,Lower-Line PP Defensemen/Defensemen-Like Forwards
649,Paul Ladue,Even Strength Lower-Line Defensive Players
654,Max Jones,Physical Defensive Lower-Line Forwards
655,Dan Hamhuis,PK Specialist And Shot-Blocking Defensemen
658,Jacob Larsson,Even Strength Lower-Line Defensive Players
659,Martin Marincin,Even Strength Lower-Line Defensive Players
663,Jonathan Ericsson,PK Specialist And Shot-Blocking Defensemen
664,Mark Borowiecki,PK Specialist And Shot-Blocking Defensemen
667,Ben Harpur,PK Specialist And Shot-Blocking Defensemen
668,Jonas Siegenthaler,Even Strength Lower-Line Defensive Players
669,Thomas Hickey,Even Strength Lower-Line Defensive Players
672,Oscar Fantenberg,Even Strength Lower-Line Defensive Players
674,Andrej Sekera,Even Strength Lower-Line Defensive Players
678,Sami Niku,Even Strength Lower-Line Defensive Players
680,Jaycob Megna,Even Strength Lower-Line Defensive Players
681,Julius Honka,Even Strength Lower-Line Defensive Players
686,Patrik Berglund,Physical Defensive Lower-Line Forwards
690,Andy Welinski,Even Strength Lower-Line Defensive Players
691,Steven Santini,Even Strength Lower-Line Defensive Players
692,Ilya Lyubushkin,Even Strength Lower-Line Defensive Players
693,Brandon Manning,Physical Defensive Lower-Line Forwards
703,Kevin Gravel,Even Strength Lower-Line Defensive Players
705,Juuso Valimaki,Even Strength Lower-Line Defensive Players
733,Josh Brown,Even Strength Lower-Line Defensive Players
743,Luke Schenn,Even Strength Lower-Line Defensive Players
744,Alexander Petrovic,Even Strength Lower-Line Defensive Players
